Forest size of 20x20
Probability of fire spreading  ,  Average percent burned  ,  Number of Iterations
0.000000  ,  0.000000  ,  2.000000 
0.010000  ,  0.000128  ,  2.051200 
0.020000  ,  0.000128  ,  2.051200 
0.030000  ,  0.000385  ,  2.153600 
0.040000  ,  0.000385  ,  2.102400 
0.050000  ,  0.000770  ,  2.307200 
0.060000  ,  0.000385  ,  2.153600 
0.070000  ,  0.000770  ,  2.307200 
0.080000  ,  0.001283  ,  2.460800 
0.090000  ,  0.001291  ,  2.412800 
0.100000  ,  0.000898  ,  2.358400 
0.110000  ,  0.002310  ,  2.665600 
0.120000  ,  0.002378  ,  2.795200 
0.130000  ,  0.002121  ,  2.590400 
0.140000  ,  0.000642  ,  2.204800 
0.150000  ,  0.002582  ,  2.822400 
0.160000  ,  0.003080  ,  2.972800 
0.170000  ,  0.003661  ,  3.102400 
0.180000  ,  0.004824  ,  3.385600 
0.190000  ,  0.006629  ,  3.979200 
0.200000  ,  0.003986  ,  3.102400 
0.210000  ,  0.003721  ,  3.228800 
0.220000  ,  0.003533  ,  2.948800 
0.230000  ,  0.005903  ,  3.433600 
0.240000  ,  0.004106  ,  3.177600 
0.250000  ,  0.010214  ,  4.665600 
0.260000  ,  0.010049  ,  4.723200 
0.270000  ,  0.010651  ,  4.560000 
0.280000  ,  0.012062  ,  4.355200 
0.290000  ,  0.007956  ,  3.996800 
0.300000  ,  0.014949  ,  5.750400 
0.310000  ,  0.020916  ,  6.249600 
0.320000  ,  0.012198  ,  5.075200 
0.330000  ,  0.021638  ,  6.057600 
0.340000  ,  0.040112  ,  8.880000 
0.350000  ,  0.037193  ,  8.502400 
0.360000  ,  0.037999  ,  8.556800 
0.370000  ,  0.053426  ,  9.160000 
0.380000  ,  0.049772  ,  9.190400 
0.390000  ,  0.047350  ,  9.424000 
0.400000  ,  0.066061  ,  10.464000 
0.410000  ,  0.113504  ,  13.342400 
0.420000  ,  0.155056  ,  17.548800 
0.430000  ,  0.129003  ,  14.419200 
0.440000  ,  0.172166  ,  21.089600 
0.450000  ,  0.139020  ,  15.712000 
0.460000  ,  0.181257  ,  19.332800 
0.470000  ,  0.174685  ,  19.390400 
0.480000  ,  0.228519  ,  15.435200 
0.490000  ,  0.331132  ,  26.688000 
0.500000  ,  0.424168  ,  31.467200 
0.510000  ,  0.428463  ,  28.060800 
0.520000  ,  0.474342  ,  28.190400 
0.530000  ,  0.596319  ,  35.171200 
0.540000  ,  0.646111  ,  35.563200 
0.550000  ,  0.624088  ,  28.849600 
0.560000  ,  0.659268  ,  28.654400 
0.570000  ,  0.704762  ,  28.808000 
0.580000  ,  0.801628  ,  31.644800 
0.590000  ,  0.724499  ,  28.214400 
0.600000  ,  0.821041  ,  29.560000 
0.610000  ,  0.817079  ,  26.193600 
0.620000  ,  0.827433  ,  26.211200 
0.630000  ,  0.927314  ,  29.064000 
0.640000  ,  0.945921  ,  30.120000 
0.650000  ,  0.955128  ,  26.352000 
0.660000  ,  0.953416  ,  26.054400 
0.670000  ,  0.956988  ,  25.584000 
0.680000  ,  0.919836  ,  24.590400 
0.690000  ,  0.921881  ,  22.768000 
0.700000  ,  0.976826  ,  23.484800 
0.710000  ,  0.977315  ,  23.972800 
0.720000  ,  0.978727  ,  24.211200 
0.730000  ,  0.982552  ,  24.283200 
0.740000  ,  0.936209  ,  22.512000 
0.750000  ,  0.990268  ,  23.204800 
0.760000  ,  0.987793  ,  22.952000 
0.770000  ,  0.941726  ,  22.232000 
0.780000  ,  0.993644  ,  22.873600 
0.790000  ,  0.993440  ,  22.382400 
0.800000  ,  0.995296  ,  22.307200 
0.810000  ,  0.997109  ,  22.153600 
0.820000  ,  0.995441  ,  22.204800 
0.830000  ,  0.997562  ,  22.283200 
0.840000  ,  0.998204  ,  22.129600 
0.850000  ,  0.998204  ,  22.102400 
0.860000  ,  0.998845  ,  22.256000 
0.870000  ,  0.998973  ,  22.051200 
0.880000  ,  0.999743  ,  22.102400 
0.890000  ,  0.999230  ,  22.051200 
0.900000  ,  0.999102  ,  22.000000 
0.910000  ,  0.999615  ,  21.948800 
0.920000  ,  0.999872  ,  22.000000 
0.930000  ,  0.999743  ,  22.000000 
0.940000  ,  1.000000  ,  22.102400 
0.950000  ,  1.000000  ,  22.000000 
0.960000  ,  1.000000  ,  22.000000 
0.970000  ,  1.000000  ,  22.000000 
0.980000  ,  1.000000  ,  22.051200 
0.990000  ,  1.000000  ,  22.000000 
1.000000  ,  1.000000  ,  22.000000 
Total time: 0.158305
